sl no,db_id,question,SQL,LLM_SQL,SQL_op,LLM_SQL_op
2498,genes,Please list the motif of the genes that are located in the cytoplasm and have 7 chromosomes.,"SELECT T2.GeneID1, T2.GeneID2 FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Localization = 'cytoplasm' AND T1.Chromosome = 7",SELECT g.Motif FROM Genes AS g WHERE g.Localization = 'cytoplasm' AND g.Chromosome = 7,"('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235380', 'G235561'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235407', 'G234732'); ('G235407', 'G235632'); ('G235407', 'G235856'); ('G235425', 'G237120'); ('G235425', 'G237120'); ('G235425', 'G237120'); ('G235435', 'G234103'); ('G235435', 'G234103'); ('G235435', 'G234103'); ('G235972', 'G237778'); ('G235972', 'G237778'); ('G237391', 'G235652'); ('G237391', 'G235830'); ('G237391', 'G235846'); ('G237391', 'G235652'); ('G237391', 'G235830'); ('G237391', 'G235846'); ('G237391', 'G235652'); ('G237391', 'G235830'); ('G237391', 'G235846'); ('G237391', 'G235652'); ('G237391', 'G235830'); ('G237391', 'G235846'); ('G238968', 'G234400'); ('G238968', 'G234400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400'); ('G239673', 'G234392'); ('G239673', 'G234779'); ('G239673', 'G235329'); ('G239673', 'G236351'); ('G239673', 'G236356'); ('G239673', 'G237916'); ('G239673', 'G238637'); ('G239673', 'G240400')","('?',); ('?',); ('?',); ('?',); ('PS00709',); ('PS00709',); ('PS00993',); ('PS00993',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('PS00733',); ('PS00733',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('PS00581',); ('PS00581',); ('PS00581',); ('?',); ('?',); ('?',); ('PS00433',); ('PS00433',); ('PS00433',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('?',); ('PS00167',); ('PS00167',); ('PS00168',); ('PS00168',); ('?',); ('?',)"
2499,genes,"For the non-essential genes whose functions are transcription, how many of them are not located in the cytoplasm?",SELECT COUNT(T1.GeneID) FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Localization != 'cytoplasm' AND T1.Function = 'TRANSCRIPTION' AND T1.Essential = 'NON-Essential',SELECT COUNT(G.GeneID) FROM Genes AS G WHERE G.Essential = 'Non-Essential' AND G.Function = 'Transcription' AND G.Localization <> 'Cytoplasm',"(0,)","(0,)"
2502,genes,"For the pairs of genes both from the class ATPases, what is the average expression correlation score?",SELECT AVG(T2.Expression_Corr) FROM Genes AS T1 INNER JOIN Interactions AS T2 ON T1.GeneID = T2.GeneID1 WHERE T1.Class = 'ATPases',SELECT AVG(Expression_Corr) FROM Interactions AS I INNER JOIN Genes AS G1 ON I.GeneID1 = G1.GeneID INNER JOIN Genes AS G2 ON I.GeneID2 = G2.GeneID WHERE G1.Class = 'ATPases' AND G2.Class = 'ATPases',"(0.1589836580612245,)","(0.21527922333472777,)"
2506,genes,"What percentage of genes located in the cytoskeleton are of unknown class? And of these, how many are not conditional phenotypes?","SELECT SUM(Localization = 'cytoskeleton' AND Phenotype = 'Conditional phenotypes') , CAST(SUM(Localization = 'cytoskeleton') AS REAL) * 100 / COUNT(GeneID) FROM Genes;","SELECT (COUNT(g.GeneID) * 100.0) / NULLIF(t.total, 0) AS Percentage_Unknown_Class, COUNT(CASE WHEN g.Phenotype <> 'conditional' THEN 1 END) AS Non_Conditional_Phenotypes FROM Genes AS g INNER JOIN (SELECT COUNT(GeneID) AS total FROM Genes WHERE Localization = 'cytoskeleton') AS t ON 1 = 1 WHERE g.Localization = 'cytoskeleton' AND g.Class = 'unknown'","(76, 8.950759318913944)","(None, 0)"
4622,disney,How much more total box office gross did the Walt Disney Company have in revenue in 1998 than in 1997?,SELECT SUM(CASE WHEN `Year` = 1998 THEN Total ELSE 0 END) - SUM(CASE WHEN `Year` = 1997 THEN Total ELSE 0 END) FROM revenue,"SELECT r1998.Total - r1997.Total AS difference FROM (SELECT Total FROM revenue WHERE Year = 1998) AS r1998, (SELECT Total FROM revenue WHERE Year = 1997) AS r1997","(503,)","(503,)"
4641,disney,Which song is associated with the most popular Disney movie in 1970s?,"SELECT T2.song FROM movies_total_gross AS T1 INNER JOIN characters AS T2 ON T1.movie_title = T2.movie_title WHERE CAST(SUBSTR(T1.release_date, INSTR(T1.release_date, ', ') + 1) AS int) BETWEEN 1970 AND 1979 ORDER BY CAST(REPLACE(SUBSTR(T1.total_gross, 2), ',', '') AS float) DESC LIMIT 1","SELECT c.song FROM characters AS c INNER JOIN movies_total_gross AS mtg ON c.movie_title = mtg.movie_title WHERE STRFTIME('%Y', mtg.release_date) BETWEEN '1970' AND '1979' ORDER BY mtg.total_gross DESC LIMIT 1","(""Ev'rybody Wants to Be a Cat"",)",
4720,disney,Name the first movie released by Disney.,"SELECT movie_title FROM characters ORDER BY SUBSTR(release_date, LENGTH(release_date) - 1, LENGTH(release_date)) ASC LIMIT 1",SELECT movie_title FROM movies_total_gross WHERE MPAA_rating = 'Disney' ORDER BY release_date ASC LIMIT 1,"('Dinosaur',)",
4721,disney,How many movies were released by Disney between 2010 and 2016?,"SELECT COUNT(movie_title) FROM characters WHERE SUBSTR(release_date, LENGTH(release_date) - 1, LENGTH(release_date)) BETWEEN '10' AND '16'",SELECT COUNT(movie_title) FROM movies_total_gross WHERE movie_title IN (SELECT movie_title FROM revenue WHERE Studio_Entertainment LIKE '%Disney%' AND Year BETWEEN 2010 AND 2016),"(7,)",Error: no such column: Studio_Entertainment
4735,disney,Name the top 5 highest-grossing Disney movies adjusted for inflation. Identify the percentage they contributed to the total of Disney's current gross.,"SELECT SUM(CASE WHEN CAST(REPLACE(trim(inflation_adjusted_gross, '$'), ',', '') AS REAL) > 1236035515 THEN CAST(REPLACE(trim(inflation_adjusted_gross, '$'), ',', '') AS REAL) ELSE 0 END) * 100 / SUM(CAST(REPLACE(trim(inflation_adjusted_gross, '$'), ',', '') AS REAL)) FROM movies_total_gross","SELECT m.movie_title, m.inflation_adjusted_gross, ROUND((m.inflation_adjusted_gross / t.Total) * 100, 2) AS percentage_of_total FROM movies_total_gross AS m, (SELECT inflation_adjusted_gross, Total FROM revenue WHERE Year = (SELECT MAX(Year) FROM revenue)) AS t ORDER BY m.inflation_adjusted_gross DESC LIMIT 5","(15.949077544028004,)",Error: no such column: inflation_adjusted_gross
4736,disney,"Among all Disney movies directed by Gary Trousdale, determine the percentage that earned over USD100m based on actual grossing.","SELECT CAST(COUNT(CASE WHEN CAST(REPLACE(trim(T1.total_gross, '$'), ',', '') AS REAL) > 100000000 THEN T1.movie_title ELSE NULL END) AS REAL) * 100 / COUNT(T1.movie_title) FROM movies_total_gross AS T1 INNER JOIN director AS T2 ON T1.movie_title = T2.name WHERE T2.director = 'Gary Trousdale'",SELECT (COUNT(mt.movie_title) * 100.0 / (SELECT COUNT(*) FROM movies_total_gross AS mt INNER JOIN director AS d ON mt.movie_title = d.movie_title WHERE d.director = 'Gary Trousdale')) AS percentage_over_100m FROM movies_total_gross AS mt INNER JOIN director AS d ON mt.movie_title = d.movie_title WHERE d.director = 'Gary Trousdale' AND mt.total_gross > 100000000,"(66.66666666666667,)",Error: no such column: d.movie_title
5579,shipping,How many shipments were ordered by S K L Enterprises Inc in 2017?,"SELECT COUNT(T2.ship_id) FROM customer AS T1 INNER JOIN shipment AS T2 ON T1.cust_id = T2.cust_id WHERE T1.cust_name = 'S K L Enterprises Inc' AND STRFTIME('%Y', T2.ship_date) = '2017'","SELECT COUNT(ship_id) FROM shipment INNER JOIN customer ON shipment.cust_id = customer.cust_id WHERE customer.cust_name = 'S K L Enterprises Inc' AND STRFTIME('%Y', shipment.ship_date) = '2017'","(14,)","(14,)"
5585,shipping,How many shipments in 2017 were done by Sue Newell?,"SELECT COUNT(*) FROM shipment AS T1 INNER JOIN driver AS T2 ON T1.driver_id = T2.driver_id WHERE STRFTIME('%Y', T1.ship_date) = '2017' AND T2.first_name = 'Sue' AND T2.last_name = 'Newell'","SELECT COUNT(shipment.ship_id) FROM shipment INNER JOIN driver ON shipment.driver_id = driver.driver_id WHERE driver.first_name = 'Sue' AND driver.last_name = 'Newell' AND STRFTIME('%Y', shipment.ship_date) = '2017'","(48,)","(48,)"
5598,shipping,Tell the name of the driver who received the shipment on 2017/11/5.,"SELECT T2.first_name, T2.last_name FROM shipment AS T1 INNER JOIN driver AS T2 ON T1.driver_id = T2.driver_id WHERE T1.ship_date = '2017-11-05'","SELECT driver.first_name, driver.last_name FROM shipment INNER JOIN driver ON shipment.driver_id = driver.driver_id WHERE shipment.ship_date = '2017-11-05'","('Maria', 'Craft')","('Maria', 'Craft')"
5624,shipping,What is the average shipment weight carried by the oldest Mack?,SELECT AVG(T2.weight) FROM truck AS T1 INNER JOIN shipment AS T2 ON T1.truck_id = T2.truck_id WHERE T1.make = 'Mack',SELECT AVG(s.weight) FROM shipment AS s INNER JOIN truck AS t ON s.truck_id = t.truck_id WHERE t.make = 'Mack' AND t.model_year = (SELECT MIN(model_year) FROM truck WHERE make = 'Mack'),"(7223.85,)","(7338.9375,)"
5636,shipping,What is the first name of the driver who transported shipment id 1028?,"SELECT T2.first_name, T2.last_name FROM shipment AS T1 INNER JOIN driver AS T2 ON T1.driver_id = T2.driver_id WHERE T1.ship_id = 1028",SELECT driver.first_name FROM driver INNER JOIN shipment ON driver.driver_id = shipment.driver_id WHERE shipment.ship_id = 1028,"('Adel', 'Al-Alawi')","('Adel',)"
5639,shipping,Give the full name of driver who transported the items on 3/2/2016.,"SELECT T2.first_name, T2.last_name FROM shipment AS T1 INNER JOIN driver AS T2 ON T1.driver_id = T2.driver_id WHERE T1.ship_date = '2016-03-02'",SELECT first_name || ' ' || last_name AS full_name FROM driver INNER JOIN shipment ON driver.driver_id = shipment.driver_id WHERE ship_date = '2016-03-02',"('Zachery', 'Hicks')","('Zachery Hicks',)"
5913,books,"Among the books published by publisher ID 1929, how many of them have over 500 pages?",SELECT COUNT(*) FROM book WHERE publisher_id = 1929 AND num_pages > 500,SELECT COUNT(book_id) FROM book WHERE publisher_id = 1929 AND num_pages > 500,"(2,)","(2,)"
5935,books,Which customer has made the most orders? Show his/her full name.,"SELECT T1.first_name, T1.last_name FROM customer AS T1 INNER JOIN cust_order AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.first_name, T1.last_name ORDER BY COUNT(*) DESC LIMIT 1","SELECT c.first_name, c.last_name FROM customer AS c INNER JOIN cust_order AS o ON c.customer_id = o.customer_id GROUP BY c.customer_id ORDER BY COUNT(c.customer_id) DESC LIMIT 1","('Ruttger', 'Royce')","('Ruttger', 'Royce')"
5943,books,What is the average number of pages of David Coward's books?,SELECT AVG(T1.num_pages) FROM book AS T1 INNER JOIN book_author AS T2 ON T1.book_id = T2.book_id INNER JOIN author AS T3 ON T3.author_id = T2.author_id WHERE T3.author_name = 'David Coward',SELECT AVG(b.num_pages) FROM book AS b INNER JOIN book_author AS ba ON b.book_id = ba.book_id INNER JOIN author AS a ON ba.author_id = a.author_id WHERE a.author_name = 'David Coward',"(280.0,)","(280.0,)"
5948,books,"Among Daisey Lamball's orders, how many were shipped via International shipping?",SELECT COUNT(*) FROM customer AS T1 INNER JOIN cust_order AS T2 ON T1.customer_id = T2.customer_id INNER JOIN shipping_method AS T3 ON T3.method_id = T2.shipping_method_id WHERE T1.first_name = 'Daisey' AND T1.last_name = 'Lamball' AND T3.method_name = 'International',SELECT COUNT(cust_order.order_id) FROM cust_order INNER JOIN customer ON cust_order.customer_id = customer.customer_id INNER JOIN shipping_method ON cust_order.shipping_method_id = shipping_method.method_id WHERE customer.first_name = 'Daisey' AND customer.last_name = 'Lamball' AND shipping_method.method_name = 'International',"(3,)","(3,)"
5949,books,What is the full name of the customer who ordered the most books of all time?,"SELECT T1.first_name, T1.last_name FROM customer AS T1 INNER JOIN cust_order AS T2 ON T1.customer_id = T2.customer_id GROUP BY T1.first_name, T1.last_name ORDER BY COUNT(*) DESC LIMIT 1","SELECT c.first_name, c.last_name FROM customer AS c JOIN cust_order AS co ON c.customer_id = co.customer_id JOIN order_line AS ol ON co.order_id = ol.order_id GROUP BY c.customer_id ORDER BY COUNT(ol.book_id) DESC LIMIT 1","('Ruttger', 'Royce')","('Ruttger', 'Royce')"
6108,books,"In books published by Ace Book, what is the percentage of English books published?",SELECT CAST(SUM(CASE WHEN T1.language_name = 'English' THEN 1 ELSE 0 END) AS REAL) * 100 / COUNT(*) FROM book_language AS T1 INNER JOIN book AS T2 ON T1.language_id = T2.language_id INNER JOIN publisher AS T3 ON T3.publisher_id = T2.publisher_id WHERE T3.publisher_name = 'Ace Book',"SELECT ROUND(100.0 * SUM(CASE WHEN book_language.language_code = 'en' THEN 1 ELSE 0 END) / COUNT(book.book_id), 2) AS percentage_english_books FROM book INNER JOIN book_language ON book.language_id = book_language.language_id INNER JOIN publisher ON book.publisher_id = publisher.publisher_id WHERE publisher.publisher_name = 'Ace Book'","(100.0,)","(0.0,)"
